Country,Year,Population
UK,2001,50013612
Germany,2023,193239008
France,2003,535897705
France,1993,1272928434
China,1999,1458853466
Germany,2003,1360437016
France,2024,1118941721
Canada,1999,1458759641
France,1998,824840224
Brazil,2021,851057611
Canada,2007,401524602
India,2013,920044225
Canada,2006,653655209
Brazil,2010,11491658
USA,2023,26823890
Canada,1990,718758030
Brazil,1999,651448757
Japan,2008,338550943
India,1992,1297664588
Canada,2014,1139690007
Canada,2007,1213736878
Canada,2021,940022089
USA,1997,1083355441
China,1992,1140089866
Brazil,2003,1355740421
Australia,1998,465209297
Japan,1999,839467837
USA,2004,1495205746
China,1992,1459080473
UK,1998,764040870
Brazil,1999,139352075
Germany,2002,794989165
Australia,1998,1287400577
Japan,1998,1016944165
Canada,2009,720605652
Japan,2012,206420839
Australia,2012,200092981
Japan,2021,996281127
China,2009,364353261
China,2015,1418083430
Japan,2013,106098237
Germany,2013,266002899
Germany,1993,51089142
France,1994,1119801787
India,2021,450884053
India,2002,332786204
Australia,1993,511601299
UK,2022,369886046
Japan,2023,301356015
Brazil,1995,1246531549
USA,2014,146462187
Germany,2022,143537739
Canada,2007,762082522
Germany,2006,1072828299
Australia,1995,1086784596
France,2002,1266366064
Germany,1999,1225216947
Australia,2020,1491250645
UK,2010,497973457
France,2020,838761650
China,2005,941533970
China,2005,500916076
Japan,2018,605039362
UK,1998,1422270236
Australia,2016,336337805
Brazil,2024,1273123511
Brazil,1990,1307583785
USA,2008,250735776
Germany,1996,377355982
France,2005,1487744007
India,2008,793708998
Germany,2014,1346955585
USA,1992,1135864808
Japan,2011,1191904117
Canada,2012,76563394
China,2009,339652163
India,1993,142579247
UK,2007,1352661666
Japan,2003,708704437
Canada,2007,532044814
India,2018,279479326
Brazil,2019,1475379871
Germany,2006,1026592112
China,1997,499705005
Canada,2024,197349880
China,2024,340200811
USA,2003,1011216350
Brazil,2014,1426301329
Australia,1991,1397837734
Canada,2008,1133048190
Brazil,2006,1085905480
Brazil,2000,768904091
USA,2007,1190797628
Canada,2002,1238584411
UK,2023,672511689
Brazil,2014,184330916
Brazil,2004,947164532
Canada,1998,918580818
Japan,2018,1001476740
Germany,1994,999719682
Germany,2006,1347944761
Brazil,2006,226709514
USA,2002,588162625
France,1998,1239621066
France,2005,1091864567
China,2020,193155624
Brazil,2014,1007020244
UK,2005,644286201
Canada,2020,40073584
Germany,2013,1484565037
India,2023,469610908
Japan,2023,7050382
France,2013,1483351204
China,1994,211095165
UK,2015,1364521753
USA,2016,932091936
Brazil,1992,175810122
China,1990,1402048612
France,2008,874128723
China,1992,1028897803
France,2009,1526419968
France,2001,1411909614
USA,2014,577120383
USA,2020,1239805463
USA,2002,1197565318
UK,1993,448594054
Japan,2006,818532563
Japan,1998,1348941141
Australia,1994,777402455
Australia,2000,967918087
France,1998,209994516
Germany,2001,1187379366
France,1990,748492163
India,2015,1134318628
China,2019,961648413
Germany,1997,1458837599
China,2000,75661349
Australia,2007,700319547
India,2007,700276610
India,2024,1005111682
Australia,2006,1483906765
France,1998,1307240314
France,1990,1000373218
China,2020,1230204950
Canada,1997,222098903
France,1997,319511153
UK,1990,130525940
Brazil,2011,54682597
Germany,1999,1355411907
UK,2024,181092870
India,2018,297769760
Germany,2010,193365783
USA,2010,159787668
France,2002,1194538322
Germany,2017,574639324
UK,2005,218696805
China,2018,408129395
USA,2012,1427524779
Australia,1996,956562719
India,2012,976368755
USA,2019,391576497
Canada,1998,413630958
Japan,2015,222927187
Australia,1999,1230807954
France,1991,914769595
Canada,2017,698607485
Germany,2008,1126359174
USA,2017,1454754691
UK,2024,846765287
USA,2007,697125161
USA,2006,920895331
France,1992,1152049620
India,2013,207804367
USA,2010,1161268100
France,2018,553655431
China,2004,254178131
Brazil,2008,371475917
Japan,2006,870648609
Australia,1996,1080454141
China,2002,1125204816
Australia,2015,1491286106
Germany,2004,1275281522
France,2003,485442490
UK,2008,1064032052
UK,1991,1281643280
Brazil,1991,757273874
India,2005,461208149
Brazil,2009,687371065
Germany,2000,156667386
USA,2018,734231634
France,2008,350764795
Australia,2004,682764040
India,2005,523513481
India,1996,1272098394
Brazil,2003,1143691629
Brazil,2005,598226325
India,2014,1173156285
Brazil,2019,516776433
Brazil,2003,283690274
Australia,2020,625958216
Japan,2010,818071131
Canada,2022,566656232
India,2024,1222546214
France,1996,108781764
USA,1992,178962920
Canada,2020,844042389
China,2013,927600925
Australia,2005,1256978517
France,2016,54663659
UK,2008,546799660
Canada,2014,412474134
China,2020,1487997685
Canada,2016,668076184
Germany,1995,421139468
China,2008,1166566890
Canada,2014,325396257
Canada,2005,1185004231
UK,1990,83888208
Australia,2008,854197137
Australia,2021,1416749814
Australia,2008,1083347485
France,2023,1075144694
USA,2002,566672890
Japan,2013,541702561
USA,1992,197176913
Japan,2015,1467036882
Japan,2018,420451487
Canada,1996,1423732073
UK,2002,123410996
USA,1994,363380126
Germany,1996,1460848742
Canada,1991,581262949
USA,1998,756285810
UK,1994,762431457
Canada,2004,587566646
India,2004,226465222
UK,2016,405442152
China,1998,277013152
UK,2001,306641818
Brazil,2000,1485073951
Australia,2014,1501744959
Brazil,2019,649413780
Japan,2010,954709675
France,2002,990055706
Germany,2018,880134959
China,2009,467972297
France,2018,780383859
Japan,1995,510539642
China,2015,1275740312
Germany,2004,1106918531
USA,2024,966212097
Brazil,2012,1425956507
Brazil,2020,409540795
Japan,2014,190995912
Canada,2022,1430961811
China,2013,1471358471
Brazil,1992,1469708127
USA,2007,1342782071
Australia,2014,1440901103
Japan,1991,650105019
UK,2019,639371800
France,2013,1209176450
India,2002,5083415
Australia,1998,1397031503
UK,2018,1093518765
France,2013,405212455
India,2004,1412496034
UK,2018,67924604
Germany,1999,1362231396
India,2011,729387862
USA,2010,974115072
India,2002,416671969
Brazil,1994,594105153
Japan,2002,782500709
France,2018,140966796
UK,2003,296238137
France,1999,363336966
UK,2005,1383752504
France,2017,1321761731
Brazil,2011,764100094
India,1990,402478933
Japan,2017,579779479
Germany,2000,1024365038
France,1997,340337745
Germany,2006,322712404
Canada,2024,1117893974
Germany,1996,987651108
China,2001,1206020598
Japan,2019,117723640
Canada,2014,1336067625
USA,2022,519070510
Germany,1994,1001599167
Brazil,1995,550785908
Australia,2021,105601770
China,1994,1302476172
India,2000,186513034
Canada,2016,652334779
USA,1991,471339900
Germany,1996,194026710
India,1991,214836310
Australia,2010,1417347159
Japan,2011,105738458
Canada,2004,822963274
India,2010,429452878
India,1996,491176100
India,1995,1351869225
Germany,1993,599067411
Brazil,2007,330661065
UK,2018,835557523
China,2014,1180862356
Japan,1993,131405362
Brazil,2010,1397940121
China,2022,1176547114
China,2011,1310701598
USA,2009,770953184
USA,2018,1124445744
USA,1993,1333179412
Australia,2020,221782430
Japan,2015,523737736
Brazil,2007,357439655
India,1996,1350984920
Germany,2018,1452169678
Brazil,1994,715659915
Japan,2016,690865235
France,1993,465441049
Australia,2003,503587156
Australia,2019,5832978
Australia,1999,700990582
Germany,2009,645429520
China,2018,1361355417
China,1993,1010827824
Australia,1994,850487503
India,2015,1148236650
France,2018,354079552
France,1990,1459821837
India,2020,707081677
Canada,1998,697658587
UK,1991,519404312
Canada,1991,256176081
Japan,2005,187792245
Brazil,2023,434062932
India,2005,1489082757
Canada,2012,1288817962
UK,2018,351426716
UK,2000,414067213
UK,1993,745482747
UK,2017,628858519
Germany,1993,422004465
Japan,2015,109574820
UK,2012,1110473783
Canada,2005,16061434
Japan,2007,350308100
Brazil,1995,1275700258
Japan,2001,1422774669
Germany,2015,1324868905
India,2018,767735496
UK,2016,1399715101
UK,2017,972317068
Brazil,2023,1308810672
Canada,1991,75453755
USA,2010,50915534
Japan,1998,660006992
USA,2004,506848582
Japan,2023,371378967
France,2020,979816414
France,2014,575033484
UK,1990,486616988
UK,1998,501238063
India,2008,431132716
Japan,2006,1086419475
China,1992,1433756084
Japan,1990,1392046559
Canada,2007,873113338
Brazil,2017,20679120
China,2008,239573624
Japan,2023,574535295
Canada,2013,424291186
Brazil,2017,1097805196
Germany,2006,180962461
Brazil,2022,943013068
Japan,2013,309689802
UK,2014,1367219226
Canada,1998,462968479
India,2003,1235403702
Australia,2004,990454585
Canada,2005,354291848
Germany,2017,57803405
China,1997,812944740
Brazil,1992,1059427883
Japan,1993,225902692
Canada,1999,56836351
China,2005,1194812534
Germany,1992,634821733
Canada,2011,36225534
Canada,1994,314379528
Canada,2011,94002952
Japan,2024,882641524
France,1999,488686417
China,2020,434932422
USA,1996,1385838790
France,2003,184257845
China,2016,201432413
USA,2000,397368363
Japan,2001,1289252538
UK,2012,756229929
France,1990,1271911065
Canada,1999,86180946
France,2016,721393060
Japan,2005,838481103
China,1999,205858933
India,1993,401278446
China,2023,340327865
Germany,2000,746951242
China,2012,616103509
India,1991,1158337352
France,1999,656029256
Germany,1993,1432240571
Canada,2011,424160185
France,1998,436925374
Japan,2018,1352122400
Japan,2001,1019288269
Japan,2005,223299749
China,1992,1280646862
France,2005,386188802
Brazil,2008,1469357691
India,1993,319768984
Germany,1995,555875655
Canada,2001,1246937583
USA,2005,1400010124
UK,1995,1452388078
UK,2000,570044857
Japan,2005,485873920
India,2012,1287024308
Japan,1990,1364195679
India,2004,1012680241
Japan,2018,1449147153
China,2015,304264795
Canada,2015,268439124
USA,1998,615996214
Brazil,2008,217324810
India,2003,519975149
UK,2010,257973705
UK,2021,774323619
UK,2018,570765392
Canada,1996,1021379005
Japan,2015,569309743
Canada,1990,903464134
Japan,2024,1327538506
Germany,2021,872950032
UK,2022,409413509
Brazil,2012,1048395073
USA,2024,869325952
China,2013,306568347
Germany,2020,307959191
USA,2009,113249851
China,2019,1198513002
Japan,2024,861541010
Japan,2001,858986267
UK,2014,1274585060
Japan,1993,62473646
France,1999,578566331
Canada,2013,270413016
Germany,2002,63702971
China,1996,1361890917
Germany,2009,1231388625
Japan,2008,393577069
Canada,2009,367185768
UK,2021,555632575
Australia,2005,264880910
Canada,2009,554920203
China,2007,549382583
UK,2008,613935183
France,2013,102910639
China,2024,534581864
Japan,1994,1381452426
India,2017,1366997630
Brazil,2009,494205359
Japan,2017,1117628182
India,2004,778797474
Brazil,1995,781518469
Brazil,1995,1070983786
UK,2015,245125436
Japan,2007,392812647
USA,2005,512376240
India,2024,761637616
UK,1999,758535718
Brazil,1992,926649989
USA,2006,1210194213
Australia,2023,1363537414
France,1995,662443633
Germany,1990,1360512582
Canada,1995,1136901182
Canada,2016,673679040
Australia,1994,901581565
Australia,2019,288714982
Brazil,1992,791612921
UK,2017,88950415
Japan,2000,948987333
France,1991,590429095
Germany,1990,217005926
Canada,2018,256798400
Japan,2010,1094321946
Japan,2022,592850309
Brazil,1996,913653831
China,2020,759383988
Canada,2001,1103936546
Canada,1990,57605645
India,2008,919029405
UK,2022,1330342358
Japan,1992,1314516056
China,1991,1142329682
India,2011,676163042
France,2001,237789902
Germany,2020,763725170
Brazil,1991,332385353
Brazil,2008,986075859
Canada,2005,1340312072
UK,2006,906364186
Germany,1997,1074530650
Canada,1996,34295188
Canada,2019,881165732
UK,2015,1380840505
Japan,2016,1297774901
Germany,2016,1171277433
France,2023,803064245
Canada,2006,616138625
Australia,1993,1493488623
Australia,2022,1147034556
France,1998,1065280821
USA,2014,444067913
France,2006,202664511
Germany,1999,1254733958
Brazil,2018,651862247
China,2007,435574171
India,2003,791472152
UK,2001,238315296
Canada,2009,630411903
Australia,2012,1045662191
Australia,1995,1335278833
Germany,2008,784483137
China,2002,599347544
Germany,1997,368030814
Brazil,1999,701728428
UK,2014,1378217194
Germany,1998,1251280477
UK,2014,1301239520
China,2013,897966463
Australia,2018,363148709
USA,2013,1105012893
Canada,2006,597266365
China,2017,241099414
Germany,1991,962595828
Canada,2008,837774077
UK,2007,1474753730
Japan,2000,587885557
India,1999,964019735
Canada,2001,1346120622
China,2020,1292948602
China,1990,1459239045
Australia,1999,460482369
India,2017,752972772
India,1992,630337472
Brazil,2012,968653319
China,2023,489140642
China,1998,1394219981
Germany,1999,793472435
Germany,2009,1006867455
Germany,2013,1089854617
USA,1996,1280015000
Germany,2022,358293113
Germany,1990,52371921
Brazil,2021,984175087
Germany,1998,1107690710
Japan,2004,1478211792
Germany,2019,729757569
India,1997,149396360
Canada,2005,38573906
UK,2024,284234450
Japan,2018,1088290150
Japan,2018,723186049
Brazil,2020,135003232
Australia,2005,1257252301
Australia,2016,1413788025
India,2014,755448535
Australia,1997,1194464980
Australia,2012,1117447422
USA,2012,697595948
France,2007,418560428
Japan,2010,1500609033
Brazil,2006,12105738
USA,2019,243155450
Australia,2003,942839945
India,2019,242452031
UK,2006,1483811761
UK,2019,1384393114
France,2016,532038885
Brazil,2009,985489086
Brazil,2002,1007977636
USA,2018,517897916
Canada,1998,1049263916
Japan,2009,1068736631
China,2019,943801623
Canada,1992,1066845904
Canada,2019,468656858
Brazil,2022,240926812
Brazil,1997,1174002274
Japan,1995,361410806
USA,2002,1499404713
UK,1994,819793404
UK,2020,44283951
France,1997,1207349536
India,1990,47150825
Japan,2013,156488776
USA,2022,1340531795
USA,2004,278644665
China,2013,1095599422
India,2007,423476663
Australia,1991,154455808
UK,2019,35094801
USA,2007,1008069789
Brazil,2003,83782473
India,2021,1401463001
Canada,2007,1364305349
USA,2013,593110224
France,2011,297083926
UK,2001,241746264
UK,2003,973221943
Japan,2018,1340171701
Australia,2012,1439347494
France,2013,1506506497
China,2012,268512718
Brazil,2007,1288506995
Canada,2021,749820016
India,2020,1253691614
UK,2019,955501860
UK,2000,538552922
UK,2000,96638585
Germany,2009,814785480
Germany,2019,195654839
UK,1994,764175643
Canada,1991,1086487311
France,2004,600054847
UK,2013,61724062
USA,2010,511735717
Canada,2005,16000962
Canada,2024,1408253786
India,2000,872895028
USA,1998,20960023
Australia,2018,1111167277
Brazil,2024,701146627
India,2024,865148691
UK,2012,1348317139
India,2004,1452643704
France,2024,1040176800
USA,1996,703973372
Brazil,2021,208312981
China,2021,1270416857
Brazil,1999,796941461
Australia,1997,1179874273
USA,2008,1157318138
Brazil,2003,1004681505
Germany,2003,792878482
UK,1999,516480499
Canada,2008,617650041
USA,2019,1410671823
USA,1999,524177842
Japan,2015,1197957452
Australia,2019,1173384508
Brazil,2014,842422588
France,2017,142316065
Brazil,2005,1426003535
USA,1999,1364835643
India,2000,1385464485
USA,2003,1375140102
Germany,2015,514724696
Brazil,2016,426683044
Canada,2002,229270289
China,2021,577124303
India,2012,1041701142
India,2000,286000117
China,2002,444460750
France,2019,117550198
USA,2022,1422404921
Japan,2008,841928530
France,2006,1309070716
Japan,1995,481956913
Germany,1996,1474877259
Germany,1993,113061941
Germany,2010,331371670
Germany,2007,249051633
China,1992,1032471607
UK,2003,867307420
USA,2011,635967060
Canada,2019,192620483
Brazil,1996,31154291
China,2014,1054259489
Australia,2010,1331397554
Japan,2013,482126969
Japan,2007,354687335
Australia,2014,1042110681
Australia,2011,1232568633
Japan,1991,157276371
Australia,2006,984677752
China,2023,433148189
Germany,1996,1114876884
China,2001,22083609
Brazil,2020,1040575438
Australia,1990,352838443
France,2019,218614356
Canada,2014,934339351
Japan,2017,1045706696
France,2024,830173930
Canada,2013,542807882
Brazil,2011,825835318
Australia,2017,238030737
UK,2014,1139213518
India,2019,1350798558
UK,2021,1308185989
China,2020,1294883632
India,2018,447016359
India,2003,1055069237
Canada,1998,185703740
Germany,1999,223103496
France,2022,278100573
China,2002,370543465
Canada,2001,524934808
USA,1995,818934806
India,2017,957330059
Australia,1999,893664447
Australia,2010,1063191542
Canada,2017,927479479
France,2000,142275229
France,2007,494461972
India,2021,1325555250
India,2008,113872429
Canada,2005,513099709
USA,2001,717456230
Australia,2017,896039233
France,2003,234002514
UK,2007,1049401239
Brazil,2000,1454896493
Canada,1997,1023942521
India,1990,1011881176
Brazil,1993,1016216119
USA,1990,321714632
Brazil,1994,649479913
USA,1992,767261487
Australia,1991,1446541889
China,2010,502077800
France,2022,835905439
India,1991,366746224
UK,1998,380991892
Japan,2013,1523489289
USA,1990,1190867220
Germany,2009,729842332
India,2010,1260569323
France,1990,583642866
USA,2012,1233504973
Brazil,2021,186879704
Australia,2018,1468359188
India,2001,736061821
Brazil,1991,1357546838
USA,2017,963546497
China,2014,842626143
Germany,2010,1129594942
Australia,1993,1412842532
Australia,2023,537393628
USA,1997,1358368083
UK,1996,279496172
Japan,1990,752329092
Japan,1990,928012478
France,2006,367014743
France,2008,537259668
China,1995,397864788
UK,2004,1438996146
USA,2010,530091998
France,1993,1083967610
Australia,2022,128231006
Australia,2015,597069493
China,2018,872721910
Canada,2009,1108010068
Germany,2016,371933251
UK,2001,34265907
France,2008,1079697116
Canada,2024,253689877
Germany,2003,312758415
India,2015,15209896
Australia,1998,988965031
UK,2004,166666499
Canada,2013,1366900977
Japan,1993,179088691
UK,2023,235302000
USA,2013,278634753
Japan,2011,378090490
China,2010,1469132957
China,2003,496047472
Brazil,2010,1211928330
India,2001,464768606
Brazil,2018,1489023382
Australia,2011,842519791
Japan,2022,1442981221
China,2014,278985983
Germany,1995,528212273
Brazil,1998,233153859
USA,2013,521288777
Australia,2014,210659252
Japan,1997,1482493517
USA,2023,439914589
Brazil,1995,179054445
India,2018,339647560
Brazil,2007,667703301
China,2021,1380184447
Australia,1998,992661296
Canada,2015,1184211669
Germany,2009,289579478
USA,1999,438505048
Canada,1993,79025073
Japan,2009,576518420
France,1997,1262337267
Australia,2001,1112818472
UK,2001,736108165
India,2017,245133759
China,2021,763066753
USA,2013,477369211
China,2016,279358666
Japan,2024,1477600674
Canada,2013,71610176
China,1995,69688424
USA,2023,75297811
France,2023,146732610
Japan,2005,456274943
USA,2021,51188449
China,1992,331245058
Japan,2000,158321255
Australia,2008,1174323202
France,1997,712247710
Canada,2002,642094147
USA,2012,960747133
Brazil,1993,570384287
Canada,2018,1483772002
Canada,2009,749076977
Brazil,2010,764089696
Canada,2002,542489188
UK,1993,1111892766
India,2004,901932940
UK,2024,519935242
Brazil,2008,1417153279
China,2007,1085162348
Japan,2006,1494062308
Brazil,2014,580725920
India,2008,1503891659
Brazil,2001,1477725723
Australia,1995,95492324
Australia,1998,43032288
Germany,1996,1367852749
Brazil,2015,164537069
Australia,2008,170807461
UK,2010,586132694
Japan,1995,1413130442
Canada,2022,824067633
Brazil,2022,780762637
Brazil,2023,443057264
Australia,1994,1206545029
Germany,2017,945839939
Brazil,2024,1175365851
Canada,2008,876921734
USA,2024,1036714725
Brazil,1999,280659744
India,2013,1046856814
UK,2020,1349773261
Japan,2010,613204169
USA,2021,1502630835
France,1994,1054329825
India,2014,622996037
Brazil,2022,796251375
Brazil,2004,187616418
Australia,1994,1407455653
Australia,2008,407000247
France,2017,467572303
Canada,2010,1067334662
Canada,1994,1012261250
France,2002,996489288
Japan,1994,738666305
Canada,2002,515906663
Germany,2024,257688640
Germany,2010,345182320
UK,2010,650601203
Germany,1996,1484990056
UK,2004,343881811
Brazil,2021,375129427
Canada,2020,37581882
Australia,2013,577236456
Canada,2009,171683860
UK,2021,1111661391
Australia,2023,67909917
France,1994,942249938
France,2019,163798421
USA,2020,1278703773
UK,2022,1128323151
Germany,2004,371336671
India,1994,298627959
France,2018,136542154
Japan,2006,880117909
Japan,1993,693966323
Japan,2024,245037080
China,2004,1356476375
Brazil,1994,1266987623
UK,2013,1498510907
France,2017,1333744770
Canada,2024,755832088
France,2020,1308203840
India,1996,869249844
China,1990,713736499
Brazil,2010,1386870276
UK,2003,1415013973
France,2019,1119347030
Japan,2012,881012379
Brazil,2017,418192547
India,2003,1234191045
Brazil,2024,1137233018
France,1994,98028643
USA,1994,88119522
Japan,1995,472437710
USA,1996,121617720
Japan,2006,268413773
Germany,2023,1146055437
Brazil,1992,301099150
Brazil,2008,162299406
India,2022,1088521051
Canada,1995,1234102979
France,2021,513106580
USA,2004,257973928
Canada,2011,43131857
Germany,2004,208411259
Brazil,2018,1128518584
Canada,2017,348899682
USA,1991,1230942916
Australia,1995,929690680
Australia,2024,246580761
Japan,2018,362486651
Australia,1994,1000378181
UK,2009,49554278
Australia,2020,325126711
India,2005,387902975
USA,1995,944869212
Japan,1998,1443794211
Australia,2011,1535653902
Canada,2002,32032974
France,2024,771895674
USA,1993,708475158
Australia,1993,169812367
UK,2003,108289394
Canada,2019,828326797
USA,1996,1004932433
Australia,2003,1274856806
India,2001,1033263176
France,2011,420157617
Canada,1993,573526586
Canada,2002,1507824700
Germany,1993,981928963
UK,2012,458650780
Brazil,2009,69694566
Brazil,2019,737070044
Japan,1998,1200516716
India,1997,64019121
Australia,1996,1481956659
Germany,2002,1056270965
Canada,2023,1478933856
Japan,2012,340809954
Canada,2000,1489246734
Japan,1992,1025875403
Germany,2021,1092320056
France,2008,1120547060
Australia,2021,814091588
India,1996,53201175
Canada,2013,1528507896
China,2014,316479017
India,2012,664959512
Australia,1992,302168762
Germany,2005,371720764
Australia,2021,695545604
USA,2016,400160455
Brazil,1996,1138908671
France,1992,941797937
UK,2011,445025313
Germany,2011,1079851988
Australia,2024,842787408
China,2024,1403002612
Germany,2004,1378725668
Canada,1992,761232216
USA,2000,1173408249
Australia,2001,986325766
France,2016,221674577
China,2020,604358373
China,2011,1349635746
Canada,1997,1408043122
Germany,2006,34272285
Canada,2009,65903379
India,1996,102950433
China,2010,1234370279
Brazil,1991,775849641
Japan,2023,468394435
France,2024,757251609
UK,2023,430241501
Brazil,1999,1198276833
UK,2008,1498001551
France,2011,1389261323
India,2012,1333286868
Japan,2008,589475220
India,1994,512531077
Brazil,2017,868134769
France,2005,964352697
Japan,2012,202375930
Brazil,1993,390302398
France,2012,1031302481
Australia,2013,1130340457
France,2009,872755922
Brazil,2013,44442757
India,2006,1304143637
Brazil,2004,1298073002
Germany,2005,1372030577
China,2021,1166985336
Canada,2013,1190237440
India,2015,1089473733
UK,2022,636499225
Japan,2015,1347663441
China,1994,598147407
Germany,2012,48205536
UK,1997,978069533
France,2007,856145925
Australia,2007,1305153229
Japan,2020,1296060626
India,2018,1005900075
UK,2007,230576005
Australia,2002,711109095
France,2000,143932249
Canada,2008,680542803
USA,1993,302020203
India,2000,14043514
France,2002,1453997010
Brazil,2024,983933442
USA,1997,306256840
France,2020,936052797
UK,1997,222750105
France,1997,1281300860
Germany,2004,781728218
India,1994,661801077
UK,2002,1122301821
China,2024,235734420
Canada,2021,720408078
Japan,2001,468030867
Australia,2024,1330262388
China,1990,1172523288
UK,2013,617815141
France,2021,344174234
UK,1998,1155108908
Germany,2015,128306278
Germany,1991,1417191751
France,1990,363558310
USA,2014,1264293207
Brazil,2011,1138319500
Canada,2011,852913706
China,2022,948001933
Japan,1996,459092423
France,2012,110134216
France,2011,1145770185
India,1990,652145870
India,1996,572358937
Brazil,1994,554992557
Germany,2010,1353615914
USA,2020,216519172
Australia,2002,602926935
China,2004,581650557
China,2000,1404250907
Germany,2021,1455477792
Australia,1992,34870308
USA,2000,1046063004
USA,2014,600550278
India,2015,1161461866
Brazil,2010,459089848
France,1997,114164305
Australia,1993,333167258
France,1993,1458891286
Japan,2004,1542212811
Canada,1998,283555538
USA,2003,794588024
Brazil,1997,644570904
USA,2015,176098873
USA,2010,1186109980
USA,2018,381296929
Canada,2001,431412371
France,2021,882363788
Germany,2003,1390093837
USA,1997,1259210532
Germany,2019,611575318
Brazil,1993,116841596
China,2006,1499822172
Canada,2024,702919612
Brazil,1992,804645214
China,2016,878037298
Brazil,2020,1147741311
France,2008,1471018848
Japan,2008,668940881
Canada,2012,56968756
Japan,2012,955458158
China,1993,343893808
Canada,2004,1045518666
France,1990,1069416100
Germany,2021,608386001
India,1993,1057684008
Brazil,2019,740567641
Brazil,2003,442641370
Canada,1995,580811425
USA,1991,1142964563
USA,2004,66779049
Germany,1997,573532837
India,2023,207336095
Brazil,1993,810462794
France,2014,365913249
China,1995,811480762
France,1991,256796411
France,1999,1459442750
France,2003,113367150
Germany,1993,316947106
France,2006,1424746254
USA,2005,1241992772
Japan,2018,1216635366
Germany,1992,1015721292
France,2015,1477710572
Japan,1993,1061255071
Canada,1993,904886569
Canada,1996,1217837721
Japan,1998,563987950
Australia,2011,1145649812
France,1996,342587470
USA,1994,798678788
UK,2017,1448084508
Brazil,2016,344249546
Germany,2010,1219637523
India,2006,892483017
USA,2007,1322649037
USA,1997,1078655579
UK,2001,1236405500
UK,2001,87549559
France,2024,145513595
Canada,1990,347150204
Germany,2012,1268967897
China,2023,759461404
Japan,2002,530802276
Germany,2003,905698919
India,2008,1149747143
Brazil,2018,985101719
India,2002,647493261
Australia,2023,1092507542
Canada,1991,687069508
China,2004,416867295
Japan,2010,1369439850
Germany,2011,736483004
Canada,1994,1297195678
India,1994,246195032
India,2004,1097767584
France,2000,1117932603
Australia,2013,844699359
China,1990,676229157
Brazil,2015,491662473
Canada,2020,202777789
Australia,2022,836056982
UK,2004,1311699513
USA,2003,310769930
India,2009,405893105
UK,1992,323436796
Canada,2007,63305443
Germany,2017,616486248
Brazil,2007,633036760
UK,2016,1456437458
India,1990,716898030
India,2009,1045628427
France,1996,548986876
India,2012,164961729
Germany,2011,958918221
Germany,2023,552723636
USA,2017,442618882
India,2017,50825535
USA,1992,1442624493
India,1993,1467711069
Germany,2007,820618671
Brazil,2015,825977064
USA,2001,802964305
USA,2022,1288576134
Germany,2020,985902544
Brazil,2018,1374227767
Germany,1997,571491393
Japan,1992,947285210
Japan,1998,1355343297
Germany,2000,439118768
USA,1992,776924600
Japan,2000,1053063520
Australia,2009,1100706397
Canada,2002,1157030493
China,2001,21222087
Brazil,1997,958222013
India,2021,1386565623
Australia,2008,127947209
France,2003,1311048931
France,1999,628572760
France,2011,1042264942
Canada,2010,416234259
China,2003,201515876
UK,2004,1159672327
Japan,1995,36305627
Germany,1990,906764293
Japan,2004,716563111
Australia,2001,1049257374
USA,2012,17711150
India,2004,561519711
Japan,2011,1526189780
Germany,2012,721931398
China,2024,97754865
Australia,2017,1196946028
Australia,1998,884640502
UK,2023,382239177
France,2004,567934006
USA,2013,899481764
UK,1994,610185331
China,2011,1202696286
Canada,1996,617039151
Australia,1991,531990330
China,2013,1269078028
Brazil,1994,1350087458
Germany,2003,281438857
Japan,2013,1030261222
France,1992,1107873043
France,2000,307131137
Germany,2021,362287845
USA,2021,154132637
France,2013,1395639115
Germany,2024,1518247396
Canada,2017,425439369
India,2005,1360642979
Brazil,2022,452962268
France,1995,665385768
Germany,2014,403234945
Brazil,1999,637792163
China,2012,1028804054
Canada,2020,1516826827
Japan,2020,1399984033
India,2001,722918577
Germany,1999,851120815
China,2017,715289803
China,2013,1121379201
India,2020,812228499
France,2024,92170680
India,2008,114246960
China,1992,37795814
France,2013,1083274209
Japan,1991,1003143317
India,1995,1357111093
Germany,2008,767799302
UK,2013,1029479032
Canada,2012,309695931
Australia,2011,424469016
Australia,1992,132468692
Japan,2022,234445636
Australia,1993,875418812
France,2017,898974076
Canada,1994,573388521
USA,2000,1330956998
France,1994,8365315
Australia,2013,382425267
Canada,1991,513826098
China,2008,939964099
Australia,1993,1434630848
Germany,2016,150997752
Canada,2024,600737085
USA,2000,565316987
Germany,2007,642920811
UK,2005,537533886
Canada,2023,801681862
USA,2001,944328781
USA,2012,933567523
Australia,2011,548662492
China,2014,363439287
Japan,2013,722844846
Brazil,2009,575774851
Canada,1993,478641824
Brazil,2005,1317184973
China,2015,659098691
Germany,2017,1271462639
Australia,2012,1228459956
Japan,2008,26287421
Canada,2017,433469982
UK,2000,1413412854
USA,2008,958208273
Brazil,2009,1034024918
Japan,2019,1293827366
China,2011,1047383038
India,2023,184680852
UK,2015,1038729383
Brazil,2013,463000643
UK,2019,1474945800
France,2001,1148463338
China,2004,798124552
UK,2011,653217073
Canada,2003,663767746
UK,2017,500056223
Australia,2002,535148233
Brazil,2021,1366366098
Canada,2003,547628158
